Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
SNRPF,-0.607557096682834,10.604436454894937,-4.477523370920712,7.011571403651996e-5,0.010650675415751433,1.6233384891783773
SORCS2,0.4722892663649586,5.413975992202395,4.476966159073988,7.023417559837634e-5,0.010650675415751433,1.6217990098121344
SCEL,-1.2571453336696743,8.11343789622036,-4.476665681255477,7.029813798381442e-5,0.010650675415751433,1.620968861373961
RPL17,-1.06434723118179,9.76422889823202,-4.475673528938829,7.05097436904825e-5,0.010650675415751433,1.6182278785456514
SNX17,0.45176677561390266,9.70166469142753,4.474711161256068,7.071559566346845e-5,0.010650675415751433,1.6155693230593045
LTBP2,1.002277489040758,7.818946258297405,4.4725150854423035,7.118755648836057e-5,0.010650675415751433,1.6095031559329867
CD58,-1.067876668648198,6.944910871142207,-4.467152000221894,7.235320648868652e-5,0.010725919332707598,1.5946919191430649
C1orf86,0.5469811298841488,7.899941780237616,4.465506386986163,7.271462547715454e-5,0.010725919332707598,1.5901481080117463
SPAG1,-0.4229260562011153,5.780629768199919,-4.463069615020476,7.325306748043023e-5,0.010729781478637004,1.58342053822002
ZNF800,-0.8452943988816575,7.249836847551826,-4.453986105703378,7.529498721818575e-5,0.010804492837935857,1.5583503541347081
TPRKB,-1.0344672944127467,6.936056955439656,-4.451279804902174,7.591409964647315e-5,0.010804492837935857,1.550883521491535
MAGEF1,-0.654380001617468,6.664182266775094,-4.451019529989292,7.597390520792405e-5,0.010804492837935857,1.550165468677597
VAMP5,0.5502651344125619,9.220234631908086,4.450347747785596,7.612848049218658e-5,0.010804492837935857,1.548312188154524
HYOU1,0.5400389615055159,6.333444132046407,4.449420879833125,7.634225818841338e-5,0.010804492837935857,1.5457553046224586
VPS29,-0.8642669367914558,9.821497982436389,-4.4435267220268395,7.771559824571059e-5,0.010923049141967551,1.5294986554792578
CYGB,0.7655054298730356,7.2556564321084,4.441375232716053,7.82229242478341e-5,0.010923049141967551,1.5235659979779772
SCO2,0.6032507708259881,8.598925052469637,4.429557212682332,8.10682540123797e-5,0.01111664360349631,1.4909912313306295
MRPS23,-0.6773856854797288,6.710603012197903,-4.4294029911835056,8.110604923947042e-5,0.01111664360349631,1.4905662870148255
LOC645100,-0.4472862342852241,5.900206176203454,-4.42472657781877,8.226036534672171e-5,0.01111664360349631,1.4776826252997761
LIPL3,-0.6659962241492837,6.541677040860715,-4.423198940650513,8.264093199290946e-5,0.01111664360349631,1.4734746952498936
EEF1B2,-1.0678973838878063,7.716182560691848,-4.421574450517188,8.30475255229167e-5,0.01111664360349631,1.4690003904537896
SH2D3C,0.5481032209563279,5.773889620591939,4.420730123754713,8.325962795308196e-5,0.01111664360349631,1.4666750431926818
WARS,0.6373204984746534,8.633630997397988,4.41955860805444,8.355480535733181e-5,0.01111664360349631,1.4634487796030005
COL8A1,1.3009926693034737,6.3009664755598225,4.4181427101467925,8.391293086143767e-5,0.01111664360349631,1.4595498008914127
NLGN2,0.5530056287194771,6.508801549107133,4.41628197328526,8.438586522275915e-5,0.01111664360349631,1.4544263536584499
LAMA5,0.487579308329652,11.387315418061581,4.410844011340641,8.578307162439042e-5,0.011175854654297018,1.4394563994612728
HPGD,-1.245608864804494,7.272090392011189,-4.410383453460298,8.590244434936598e-5,0.011175854654297018,1.4381887675911376
SHC1,0.6087778472223646,10.149557269614427,4.40739752996729,8.668034027516661e-5,0.011197911127346527,1.4299711973722955
CTSL2,-0.6802786485407736,10.971524225900614,-4.405640946028428,8.714119706662293e-5,0.011197911127346527,1.4251375747595656
ITGA3,0.7054393377981665,8.218194309424856,4.402829901016655,8.78837162202047e-5,0.01122446536553907,1.4174034210198663
MCOLN3,-0.7746534929044759,6.6264759613848225,-4.398586825144069,8.90162857713315e-5,0.011300212859189756,1.4057317067085062
LOC388524,-0.7064322238660148,6.307995094276026,-4.394845285916922,9.002687405513091e-5,0.01135965604794441,1.3954420574071165
LOC100132510,-0.6973241923557809,6.462909913586983,-4.3886100186287065,9.173611742208396e-5,0.01150601626061659,1.3782995142251213
WDR53,-0.4926709619544143,5.934763527833556,-4.384965233774582,9.274996634518099e-5,0.011563933303965244,1.3682819392390844
NUDT14,0.7605144403234179,8.339090089356253,4.381047093036874,9.38521295368035e-5,0.011564189531962374,1.357515523797228
FGFBP2,-1.5835435607388397,7.436777100383632,-4.381032663588435,9.385621218531479e-5,0.011564189531962374,1.3574758787536982
TCEB1,-0.6335517426046389,7.846207442717186,-4.379038310056385,9.442217330311646e-5,0.011565887964953668,1.3519967093138998
BCL3,0.6332227580952494,7.231066351245571,4.3708969755327125,9.676750958065415e-5,0.01178425730044408,1.3296366185836161
KIAA0101,-0.7697552417496936,6.196322780448313,-4.365805667707881,9.826317775539854e-5,0.011825006362809865,1.315659083569078
GNL2,-0.5643493633662925,9.48845914608246,-4.361310500889371,9.960257081079903e-5,0.011825006362809865,1.303321838209599
FABP7,-2.1692445162916516,8.23401837556523,-4.358411733489316,1.004757860133006e-4,0.011825006362809865,1.2953678317955815
KRTHB6,1.5187247161495625,5.854872024392577,4.356900770134096,1.0093391914685423e-4,0.011825006362809865,1.2912224285944323
SPTLC3,-0.7911117373546511,6.96137846185843,-4.3560997117554185,1.0117763607026567e-4,0.011825006362809865,1.2890248437867582
UQCRB,-1.1012046366501733,7.782612063584996,-4.352719151333235,1.0221252940899505e-4,0.011825006362809865,1.2797519917797242
ARF3,0.40822524989311376,8.58827750258322,4.352046909365758,1.0241955853939235e-4,0.011825006362809865,1.277908271420137
MED30,-0.5401582991396896,7.682719372375875,-4.350820691172224,1.0279825551856876e-4,0.011825006362809865,1.2745453921054235
HCFC1R1,0.42219518156286723,9.953536058122538,4.350344642564968,1.0294564528155185e-4,0.011825006362809865,1.273239908028791
DBI,-0.6576128942327369,12.309093530535552,-4.348778107436786,1.0343212740222208e-4,0.011825006362809865,1.2689442223851364
FLOT2,0.5968880867041456,10.207120193057209,4.347597625448398,1.0380021237523537e-4,0.011825006362809865,1.2657074353954396
ARL6IP6,-0.8670452501871833,7.642728389329347,-4.341417428057738,1.0574834055871547e-4,0.011825006362809865,1.248765772473619
ABHD4,0.414875257103212,5.776282457239562,4.34047489980008,1.0604858209815584e-4,0.011825006362809865,1.2461826203650102
UST,-0.8661981606569964,6.716543974541508,-4.336355455390576,1.0737067635106668e-4,0.011825006362809865,1.2348944315848156
EEF1B2,-0.9630510246791115,8.336790150760683,-4.336044462902426,1.0747114039064987e-4,0.011825006362809865,1.2340423637998095
HEBP2,-0.44299014085964056,10.944404782605327,-4.3343578251873,1.0801760637784581e-4,0.011825006362809865,1.2294215515351574
DPF2,0.40008035301651546,8.056860638902652,4.331033505094893,1.0910267259158072e-4,0.011825006362809865,1.22031550925941
MVP,0.5627774089914431,9.069696611006577,4.328266882856238,1.100138538130907e-4,0.011825006362809865,1.2127386058615048
GPR4,0.3442325574062004,5.357330404688712,4.328232177825787,1.1002533113211917e-4,0.011825006362809865,1.212643568325868
ILK,0.3988336726772899,10.54781372858807,4.327485430551354,1.1027257313654356e-4,0.011825006362809865,1.2105986995285036
PLOD1,0.5509124378340613,9.796249652819181,4.326943161557453,1.1045245562720792e-4,0.011825006362809865,1.2091138291979941
SF3B14,-1.1306053721309992,9.631672526367916,-4.32565058804253,1.1088239244562706e-4,0.011825006362809865,1.2055746439075987
CA13,-0.42187034199552953,6.258820614663641,-4.325420890257092,1.1095896634515516e-4,0.011825006362809865,1.2049457411338471
SAA1,1.3522065057443682,6.047467362248351,4.32467010529561,1.1120961619136578e-4,0.011825006362809865,1.2028901889438837
CNTNAP1,0.6933071806800054,6.2294098555903465,4.324651588357503,1.1121580509278829e-4,0.011825006362809865,1.2028394932212096
KCNK1,-0.6083259332672528,6.856603590899971,-4.321337732477255,1.1232885159240431e-4,0.011835954768629054,1.193767788308203
ZNHIT3,-0.7344136390299602,9.968726870963744,-4.320982192920206,1.1244891621107522e-4,0.011835954768629054,1.192794611897079
LOC650029,0.48009811850320305,7.675660408176086,4.313823794589071,1.148932476421022e-4,0.012032769825557364,1.1732055632198346
NIP7,-0.5621745402168637,8.206415478964097,-4.303097673753996,1.1865368251237292e-4,0.012241605540614478,1.1438705780069256
TIGA1,-0.4550943471230174,10.568024725290563,-4.299185886902269,1.2005492695763276e-4,0.012241605540614478,1.133177354348616
CENPN,-0.6152578045421785,6.055164687084965,-4.29909564566655,1.2008744311019737e-4,0.012241605540614478,1.1329307044888974
GPI,0.5584235808624397,8.687646523693022,4.298991002154815,1.2012515957398862e-4,0.012241605540614478,1.132644691777851
LOC642197,-0.5942295102640327,7.001742771369263,-4.298492082375279,1.2030514408202868e-4,0.012241605540614478,1.1312810664939423
GRAP,0.5721038671164173,6.582204743390755,4.296994051846749,1.2084714678599241e-4,0.012241605540614478,1.1271869880102674
ING2,-0.6332099903922622,6.987868196140553,-4.296046794924229,1.2119110906061252e-4,0.012241605540614478,1.124598370069367
TLN1,0.573105319519175,7.611990846506615,4.2950261934400515,1.2156277821291948e-4,0.012241605540614478,1.121809502461212
PITPNC1,0.3639692960066359,5.431090509147979,4.289835127692143,1.2347056060202735e-4,0.012339257538232697,1.1076274803964683
ACYP1,-0.44321329074454524,6.237508953207956,-4.288108224555587,1.241117033368233e-4,0.012339257538232697,1.1029106635790358
MYO1C,0.7275872371848626,6.875692947446725,4.2853060594893755,1.2515900791529915e-4,0.012339257538232697,1.0952580696171488
,0.7850283330215112,6.910466958903129,4.28416063556088,1.2558959862094058e-4,0.012339257538232697,1.0921303810503717
NOL7,-0.5116135026877626,10.497131370576614,-4.2836835336627574,1.2576938015134058e-4,0.012339257538232697,1.0908276803642947
EHD2,0.6595693583293345,7.1879062841302686,4.282783303716856,1.2610929223393782e-4,0.012339257538232697,1.0883697658631952
